cell	trait	ChiSq
Bcell	MCV	2102.33571000025
CD4	MCV	2298.287193764
CD8	MCV	2680.16927408427
CLP	MCV	932.044268051162
CMP	MCV	1993.05728714168
Erythro	MCV	3284.52924170159
GMP	MCV	1933.62765013054
GMP1low	MCV	2358.89169961959
GMP2mid	MCV	3025.05197284743
GMP3high	MCV	2466.53430954367
HSC	MCV	1674.12702909857
LMPP	MCV	1326.99354791269
MCP	MCV	714.112353216857
mDC	MCV	1873.28355273977
MEGA	MCV	2455.97828563303
MEP	MCV	2934.59988972545
Mono	MCV	1793.98815434985
MPP	MCV	1718.8621894531
NK	MCV	2741.57355778478
pDC	MCV	1244.0835388694
UNK	MCV	1723.06576691195
