cell	trait	ChiSq
Bcell	RBC_COUNT	1485.56591841206
CD4	RBC_COUNT	1011.87802287005
CD8	RBC_COUNT	1209.1860990189
CLP	RBC_COUNT	317.963661415502
CMP	RBC_COUNT	868.8654076159
Erythro	RBC_COUNT	1211.79915729724
GMP	RBC_COUNT	837.167592301965
GMP1low	RBC_COUNT	1303.30266562663
GMP2mid	RBC_COUNT	1578.79666790552
GMP3high	RBC_COUNT	1355.53103903122
HSC	RBC_COUNT	737.027548730373
LMPP	RBC_COUNT	530.051920413971
MCP	RBC_COUNT	377.350575953722
mDC	RBC_COUNT	1119.40479791723
MEGA	RBC_COUNT	878.110217742622
MEP	RBC_COUNT	1185.40614949912
Mono	RBC_COUNT	958.226694503799
MPP	RBC_COUNT	727.093589503318
NK	RBC_COUNT	1278.29832618125
pDC	RBC_COUNT	641.549926100299
UNK	RBC_COUNT	783.67373826541
