cell	trait	ChiSq
Bcell	HCT	958.318885028362
CD4	HCT	604.485210105777
CD8	HCT	764.533100239933
CLP	HCT	115.882272936404
CMP	HCT	305.558622322977
Erythro	HCT	481.210470058024
GMP	HCT	421.731593959033
GMP1low	HCT	761.787582015619
GMP2mid	HCT	1035.59541553631
GMP3high	HCT	895.401147257537
HSC	HCT	356.269776094705
LMPP	HCT	279.223426807672
MCP	HCT	128.47192722559
mDC	HCT	652.71762095578
MEGA	HCT	459.998101875186
MEP	HCT	435.29203338176
Mono	HCT	733.142548918724
MPP	HCT	342.192152947187
NK	HCT	787.734624808654
pDC	HCT	261.59123009257
UNK	HCT	416.308756027371
