cell	trait	ChiSq
Bcell	MCH	2874.36674638093
CD4	MCH	2574.48623312637
CD8	MCH	3058.08788460866
CLP	MCH	924.787837073207
CMP	MCH	1917.12394622713
Erythro	MCH	4079.35689698532
GMP	MCH	1960.8190567717
GMP1low	MCH	2619.02810178697
GMP2mid	MCH	3424.18564468622
GMP3high	MCH	2752.14735114574
HSC	MCH	1674.86444228888
LMPP	MCH	1367.65224319696
MCP	MCH	682.41851374507
mDC	MCH	2218.63141005486
MEGA	MCH	2847.75798445195
MEP	MCH	2833.03095193952
Mono	MCH	2055.11939196289
MPP	MCH	1783.60127004981
NK	MCH	3148.75312288478
pDC	MCH	1326.81168129668
UNK	MCH	1829.37358778343
