cell	trait	ChiSq
Bcell	PLT_COUNT	2524.90587596223
CD4	PLT_COUNT	2432.73177220859
CD8	PLT_COUNT	2864.50064089336
CLP	PLT_COUNT	855.106133682653
CMP	PLT_COUNT	2076.6786666885
Erythro	PLT_COUNT	2027.05891994759
GMP	PLT_COUNT	2263.51010579616
GMP1low	PLT_COUNT	2483.33690737188
GMP2mid	PLT_COUNT	3120.74998707697
GMP3high	PLT_COUNT	2867.93793555722
HSC	PLT_COUNT	1864.54133111984
LMPP	PLT_COUNT	1600.72979030386
MCP	PLT_COUNT	963.705341093242
mDC	PLT_COUNT	2684.92449901067
MEGA	PLT_COUNT	3106.59528393298
MEP	PLT_COUNT	2719.66509585455
Mono	PLT_COUNT	2288.47632271238
MPP	PLT_COUNT	2044.83312859386
NK	PLT_COUNT	2979.52667689882
pDC	PLT_COUNT	1305.65472624078
UNK	PLT_COUNT	1952.85752854124
