cell	trait	ChiSq
Bcell	EO_COUNT	3492.17882465199
CD4	EO_COUNT	2363.9658252541
CD8	EO_COUNT	2907.14928319678
CLP	EO_COUNT	479.780792290345
CMP	EO_COUNT	1019.2142134048
Erythro	EO_COUNT	637.495180427097
GMP	EO_COUNT	1214.53110617027
GMP1low	EO_COUNT	1461.69654176012
GMP2mid	EO_COUNT	1976.28969732672
GMP3high	EO_COUNT	1715.87277296931
HSC	EO_COUNT	1001.54617381468
LMPP	EO_COUNT	887.698242779821
MCP	EO_COUNT	516.37149739638
mDC	EO_COUNT	1845.24027451128
MEGA	EO_COUNT	849.719555038959
MEP	EO_COUNT	1084.15519460291
Mono	EO_COUNT	1659.94590935484
MPP	EO_COUNT	1101.50071671605
NK	EO_COUNT	2653.74853728525
pDC	EO_COUNT	772.83533529751
UNK	EO_COUNT	1119.69729093462
