cell	trait	ChiSq
Bcell	BASO_COUNT	0.158
CD4	BASO_COUNT	0.084
CD8	BASO_COUNT	0.112
CLP	BASO_COUNT	0.012
CMP	BASO_COUNT	0.051
Erythro	BASO_COUNT	0.027
GMP	BASO_COUNT	0.079
GMP1low	BASO_COUNT	0.104
GMP2mid	BASO_COUNT	0.148
GMP3high	BASO_COUNT	0.126
HSC	BASO_COUNT	0.03
LMPP	BASO_COUNT	0.035
MCP	BASO_COUNT	0.023
mDC	BASO_COUNT	0.126
MEGA	BASO_COUNT	0.039
MEP	BASO_COUNT	0.402
Mono	BASO_COUNT	0.112
MPP	BASO_COUNT	0.013
NK	BASO_COUNT	0.189
pDC	BASO_COUNT	0.21
Unk	BASO_COUNT	0.032
