cell	trait	ChiSq
Bcell	WBC_COUNT	2386.62658561021
CD4	WBC_COUNT	1506.25418142788
CD8	WBC_COUNT	1879.71560049988
CLP	WBC_COUNT	302.715279353783
CMP	WBC_COUNT	626.793799970299
Erythro	WBC_COUNT	786.12223487813
GMP	WBC_COUNT	832.266706328839
GMP1low	WBC_COUNT	1256.64386299066
GMP2mid	WBC_COUNT	1673.45602491498
GMP3high	WBC_COUNT	1478.06429955736
HSC	WBC_COUNT	662.980688575655
LMPP	WBC_COUNT	584.509896639735
MCP	WBC_COUNT	276.981387581676
mDC	WBC_COUNT	1516.48462225497
MEGA	WBC_COUNT	905.333583749831
MEP	WBC_COUNT	913.217409882694
Mono	WBC_COUNT	1305.02120047435
MPP	WBC_COUNT	750.51568325609
NK	WBC_COUNT	1814.32969946787
pDC	WBC_COUNT	657.255595209077
UNK	WBC_COUNT	829.49814228341
