rank	TF	cluster1_mean_zscore	cluster2_mean_zscore	t_statistic	pval	FDR	logp
1	ENSG00000136574_LINE2102_GATA4_D_N2	5.18274088257576	-0.340372687815126	25.5297037753635	1.3262305416376e-87	5.40621182970654e-85	86.8773809749823
2	ENSG00000102145_LINE2081_GATA1_D_N7	7.1970325	-0.173572264705882	24.8886959134706	8.63245724683799e-85	1.75945625674046e-82	84.0638655638628
3	ENSG00000107485_LINE2094_GATA3_D_N6	6.44408290909091	-0.00566003361344539	24.6385446761928	2.44358367583515e-84	3.32032040192792e-82	83.6119727847998
4	ENSG00000179348_LINE2112_GATA2_D_N1	4.45350162878788	-0.0849074521008403	24.1497222665483	4.11787198986775e-83	3.70246545495261e-81	82.3853271581935
5	ENSG00000179348_LINE2120_GATA2_D_N9	7.1898721969697	-0.129949614705882	24.6133461220146	4.54137103797398e-83	3.70246545495261e-81	82.342813014029
6	ENSG00000130700_LINE2097_GATA5_D_N1	5.39951267424242	0.125503814285714	22.977573875312	1.3622853366267e-77	9.2553077702628e-76	76.8657319180152
7	ENSG00000085276_LINE669_MECOM_D_N5	3.34997116026515	-0.0718730676890756	22.7023744512924	1.23992981892819e-76	6.72563726908226e-75	75.9066028955755
8	ENSG00000141448_LINE2103_GATA6_D_N2	4.38112575757576	-0.150288904621849	23.0027680054124	1.31992542492989e-76	6.72563726908226e-75	75.8794506055035
9	ENSG00000102145_LINE2074_GATA1_D_N1	3.19404723484848	-0.26682088697479	22.4246813320596	3.5663619166006e-76	1.61531392730674e-74	75.4477745864531
10	ENSG00000135363_LINE3655_LMO2_D_N1	4.08917074242424	-0.190667029411765	22.4322084001966	1.22606567330096e-74	4.99790235475363e-73	73.9114862665319
11	ENSG00000142611_LINE960_PRDM16_I	2.45839558712121	-0.00413274987394958	19.3836594587128	3.40451492955777e-62	1.26164331633822e-60	61.4679447570032
12	ENSG00000130700_LINE2098_GATA5_D_N1	2.05582521969697	-0.235636617647059	18.7582507414493	1.19375329848667e-58	4.0551541891433e-57	57.9230854153977
13	ENSG00000085276_LINE672_MECOM_D_N1	1.87839019280303	-0.243032834285714	17.7519939364465	5.79223321018311e-54	1.81625457195543e-52	53.2371539606478
14	ENSG00000085276_LINE667_MECOM_D_N1	1.7437579219697	0.0582214772268908	15.6969317137922	4.79345574536124e-45	1.39570848905716e-43	44.3193512778127
15	ENSG00000168874_LINE262_ATOH8_I	-1.6380474280303	0.049091743697479	-13.7484420182482	1.08519075064611e-36	2.94909564586306e-35	35.9644939164958
16	ENSG00000102145_LINE2075_GATA1_D_N1	1.1617089094697	-0.0901399899159664	13.0520797447352	1.03112492206321e-33	2.6270318284369e-32	32.9866887162139
17	ENSG00000071564_LINE91_TCF3_D_N2	-1.52908891969697	-0.136673604495798	-12.7662716538067	1.85875499159313e-32	4.45704747339947e-31	31.7307778521924
18	ENSG00000196628_LINE303_TCF4_D_N3	-1.80081334810606	-0.188943168445378	-12.723538797018	2.55054723956138e-32	5.77610261474011e-31	31.5933666283411
19	ENSG00000166823_LINE260_MESP1_D	-1.93531357727273	-0.26247718907563	-12.6416860572999	5.70534619622063e-32	1.16285627310668e-30	31.2437179977757
20	ENSG00000188095_LINE300_MESP2_I	-1.93531357727273	-0.26247718907563	-12.6416860572999	5.70534619622063e-32	1.16285627310668e-30	31.2437179977757
21	ENSG00000117318_LINE151_ID3_I	-1.92906865530303	-0.339422654201681	-12.0711363851241	1.33049675758133e-29	2.46527387358265e-28	28.8759861794863
22	ENSG00000172201_LINE271_ID4_D	-1.92906865530303	-0.339422654201681	-12.0711363851241	1.33049675758133e-29	2.46527387358265e-28	28.8759861794863
23	ENSG00000116132_LINE2282_PRRX1_D_N1	1.18491021590909	-0.00214994957983194	11.851238743151	1.04038975551247e-28	1.84392080548107e-27	27.9828039328567
24	ENSG00000148516_LINE581_ZEB1_D_N5	-1.36779579166667	0.0192318466386555	-11.6626475209475	6.01866560036441e-28	1.02226385691712e-26	27.2204997855921
25	ENSG00000183733_LINE289_FIGLA_D	-1.20059286742424	0.0313916256302521	-11.3886692357454	7.19693090434366e-27	1.17349530933288e-25	26.1428526668285
26	ENSG00000071564_LINE90_TCF3_D_N1	-1.42298141704545	-0.138744930672269	-11.2495668193602	2.52864411341874e-26	3.96449975785747e-25	25.5971122898547
27	ENSG00000148516_LINE575_ZEB1_D_N1	-1.42404254166667	-0.155193668067227	-11.2144720087602	3.45951980587022e-26	5.22307293809585e-25	25.4609841787025
28	ENSG00000125347_LINE2729_IRF1_D_N2	-2.06396439772727	-0.81041333697479	-11.0540361677353	1.48795773308413e-25	2.16624013002885e-24	24.8274094051806
29	ENSG00000175832_LINE1927_ETV4_D_N1	-1.03163026893939	0.752963798319328	-10.9347392268706	5.11406540961662e-25	7.18856682006004e-24	24.2912337215866
30	ENSG00000124216_LINE884_SNAI1_D	-1.44944271287879	0.012601	-10.8808572379439	7.45935172772598e-25	1.01357027269631e-23	24.1272989142572
31	ENSG00000101883_LINE2195_RHOXF1_D_N2	0.987997502272727	-0.0948906878571429	10.7254311337666	2.70419431643181e-24	3.55590570036407e-23	23.5679621043273
32	ENSG00000142539_LINE1877_SPIB_D_N1	-0.781252926893939	0.584024214705882	-10.7121874808461	3.03943078579192e-24	3.87183029124617e-23	23.5172077419623
33	ENSG00000111049_LINE473_MYF5_I_N1	-1.29750127348485	-0.172961519747899	-10.7098316086937	3.15281389339575e-24	3.89456027125106e-23	23.5013016643478
34	ENSG00000162992_LINE247_NEUROD1_D	-1.03953278484848	0.0429351630252101	-10.5752486636357	1.0162824171178e-23	1.15076314521389e-22	22.9929855881621
35	ENSG00000123307_LINE292_NEUROD4_I_N1	-1.03953278484848	0.0429351630252101	-10.5752486636357	1.0162824171178e-23	1.15076314521389e-22	22.9929855881621
36	ENSG00000164600_LINE429_NEUROD6_I_N1	-1.03953278484848	0.0429351630252101	-10.5752486636357	1.0162824171178e-23	1.15076314521389e-22	22.9929855881621
37	ENSG00000162367_LINE243_TAL1_D_N1	-0.752979590909091	0.459763654201681	-10.5693925671532	1.35467428349791e-23	1.41593824674735e-22	22.8681651135601
38	ENSG00000104903_LINE204_LYL1_I_N1	-0.752979590909091	0.459763654201681	-10.5693925671532	1.35467428349791e-23	1.41593824674735e-22	22.8681651135601
39	ENSG00000186051_LINE511_TAL2_I_N1	-0.752979590909091	0.459763654201681	-10.5693925671532	1.35467428349791e-23	1.41593824674735e-22	22.8681651135601
40	ENSG00000135363_LINE3654_LMO2_D_N1	-1.46383067272727	-0.24743456302521	-10.4134367885379	4.19204409287961e-23	4.27208499089329e-22	22.3775741579915
41	ENSG00000163435_LINE1920_ELF3_D_N1	-0.773721284090909	0.498281319327731	-10.337071615698	8.20289233342104e-23	8.15562386530835e-22	22.0860329887182
42	ENSG00000140262_LINE216_TCF12_D_N3	-1.45813184886364	-0.313001433487395	-10.1884786713319	2.83791122175921e-22	2.75437804777411e-21	21.5470011946795
43	ENSG00000066336_LINE1813_SPI1_D_N5	-1.96395416590909	-0.232150278529412	-10.0840873684274	8.60153055285784e-22	8.15419915360229e-21	21.0654242636962
44	ENSG00000166211_LINE1923_SPIC_D	-1.04404074280303	0.574175854621849	-9.86742284485928	4.4671769734996e-21	4.13861011636676e-20	20.3499668420005
45	ENSG00000006194_LINE591_ZNF263_D_N1	-0.4387092865	0.361818531932773	-9.84343385665485	5.52839873506406e-21	5.00796031433959e-20	20.2574006410693
46	ENSG00000162676_LINE1033_GFI1_D_N2	-0.65235961969697	0.289144542857143	-9.81066919106049	7.11087551536479e-21	6.30143234229967e-20	20.1480769241531
47	ENSG00000172216_LINE498_CEBPB_D_N8	-1.87230291287879	0.509778386554622	-9.76158887971283	1.01621478272015e-20	8.81376940353875e-20	19.9930144917647
48	ENSG00000171786_LINE267_NHLH1_D_N3	-0.83656694280303	0.0475073403361344	-9.76122775742931	1.09992883117083e-20	9.15045183371387e-20	19.9586354141415
49	ENSG00000104903_LINE195_LYL1_I_N3	-0.83656694280303	0.0475073403361344	-9.76122775742931	1.09992883117083e-20	9.15045183371387e-20	19.9586354141415
50	ENSG00000129152_LINE176_MYOD1_D_N3	-1.31478946590909	-0.195676783403361	-9.70298753595351	1.78133600312654e-20	1.45227838907911e-19	19.749254154349
51	ENSG00000137265_LINE2749_IRF4_D_N1	-1.49868865265152	-0.560578885714286	-9.63549524892303	3.08763193486659e-20	2.46791036228136e-19	19.5103744758828
52	ENSG00000221869_LINE558_CEBPD_D_N2	-1.62453175378788	0.376002481092437	-9.49970676491097	8.78912638226334e-20	6.87043528701205e-19	19.0560542905938
