trait	Category	pvalue
848	LYMPH_COUNT	GMP-B	0.227195815983487
849	LYMPH_COUNT	GMP-C	0.206880729189828
850	LYMPH_COUNT	GMP	0.40687149996457
851	LYMPH_COUNT	HSC	0.503745896725927
852	LYMPH_COUNT	LMPP	0.751278222943692
853	LYMPH_COUNT	MCP	0.382659900125226
854	LYMPH_COUNT	Mega	0.50260516214254
855	LYMPH_COUNT	MEP	0.715947061187544
856	LYMPH_COUNT	MPP	0.85987399555928
857	LYMPH_COUNT	Mono	0.12196044068865
858	LYMPH_COUNT	UNK	0.855711780744638
859	LYMPH_COUNT	mDC	0.107206476692733
860	LYMPH_COUNT	pDC	0.449361321338311
861	LYMPH_COUNT	NK	0.000105102309070188
1051	MCH	B	0.000716577082235276
1052	MCH	CD4	0.00382604235010473
1053	MCH	CD8	0.000179310419253482
1054	MCH	CLP	0.0159662524084054
1055	MCH	CMP	6.09861946984421e-06
1056	MCH	Ery	1.67828469028013e-14
1057	MCH	GMP-A	3.01790643728753e-05
1058	MCH	GMP-B	5.24835770062055e-07
1059	MCH	GMP-C	0.00133804677601783
1060	MCH	GMP	0.00805030980729703
1061	MCH	HSC	0.000166400193433732
1062	MCH	LMPP	0.0156735628345316
1063	MCH	MCP	0.169790933786579
1064	MCH	Mega	2.83767511830165e-05
1065	MCH	MEP	5.01081921597556e-11
1066	MCH	MPP	0.000128176865145486
1067	MCH	Mono	0.0361475570089885
1068	MCH	UNK	0.0195334849957348
1069	MCH	mDC	0.0200443203857606
1070	MCH	pDC	0.012210337924805
1071	MCH	NK	6.41656686038228e-05
1261	MCHC	B	0.439513667042444
1262	MCHC	CD4	0.326254322774348
1263	MCHC	CD8	0.386032298060522
1264	MCHC	CLP	0.082581457445321
1265	MCHC	CMP	0.493454166183595
1266	MCHC	Ery	0.000493000260365599
1267	MCHC	GMP-A	0.160699918540238
1268	MCHC	GMP-B	0.857963009290915
1269	MCHC	GMP-C	0.304837005286279
1270	MCHC	GMP	0.275155642069316
1271	MCHC	HSC	0.431418648520761
1272	MCHC	LMPP	0.104178991877215
1273	MCHC	MCP	0.0553768607538386
1274	MCHC	Mega	0.444794956295227
