Category	trait	pvalue
GMP-A	HGB	0.233971645707684
GMP-B	HGB	0.0488759234240587
GMP-C	HGB	0.700211575919708
HSC	HGB	0.0133861011417281
LMPP	HGB	0.538033244350423
mDC	HGB	0.384755434353152
Mega	HGB	0.77739404775992
MEP	HGB	0.232679754839783
Mono	HGB	0.546813616839594
MPP	HGB	0.0518932426099183
NK	HGB	0.442046173570685
pDC	HGB	0.324287860977691
B	LYMPH_COUNT	0.0048437752304531
CD4	LYMPH_COUNT	0.0801075678450771
CD8	LYMPH_COUNT	0.593086381262552
CLP	LYMPH_COUNT	0.509994780557592
CMP	LYMPH_COUNT	0.612566309057036
Ery	LYMPH_COUNT	0.151763143073037
GMP-A	LYMPH_COUNT	0.863988636107485
GMP-B	LYMPH_COUNT	0.233523160693168
GMP-C	LYMPH_COUNT	0.314766221015011
HSC	LYMPH_COUNT	0.161392518041784
LMPP	LYMPH_COUNT	0.0294845073026674
mDC	LYMPH_COUNT	0.952013329323249
Mega	LYMPH_COUNT	0.817160729031771
MEP	LYMPH_COUNT	0.850719533159514
Mono	LYMPH_COUNT	0.888911744841486
MPP	LYMPH_COUNT	0.251139478551718
NK	LYMPH_COUNT	0.146387293717829
pDC	LYMPH_COUNT	0.000724888802506311
B	MCH	0.178805955290939
CD4	MCH	0.0125081936459794
CD8	MCH	0.170708253097959
CLP	MCH	0.61863067158345
CMP	MCH	0.349089712035925
Ery	MCH	4.95506862310038e-11
GMP-A	MCH	0.579371167692145
GMP-B	MCH	0.11203700922654
GMP-C	MCH	0.666087726629073
HSC	MCH	0.195854434622016
LMPP	MCH	0.113564927732955
mDC	MCH	0.746617997014471
Mega	MCH	0.633506155859278
MEP	MCH	0.0163097989838623
Mono	MCH	0.0027057875560984
MPP	MCH	0.861973241209497
NK	MCH	0.422989039797642
pDC	MCH	0.669779203187539
B	MCHC	0.626013864561083
CD4	MCHC	0.415366895807973
CD8	MCHC	0.882637550657192
CLP	MCHC	0.114363137697883
CMP	MCHC	0.35493705055719
Ery	MCHC	3.549197264512e-05
GMP-A	MCHC	0.0328767881784489
GMP-B	MCHC	0.0341737367477819
GMP-C	MCHC	0.683713322684464
HSC	MCHC	0.269706966049391
LMPP	MCHC	0.562031626329375
mDC	MCHC	0.153186706258286
Mega	MCHC	0.936802652715153
MEP	MCHC	0.272345313855355
Mono	MCHC	0.026775824198293
MPP	MCHC	0.730761367654356
NK	MCHC	0.770270130171036
pDC	MCHC	0.864707407999395
B	MCV	0.280602406672927
CD4	MCV	0.0208640595091397
CD8	MCV	0.0795279342297004
CLP	MCV	0.571467742922604
CMP	MCV	0.395599059356308
Ery	MCV	1.62573345099579e-12
GMP-A	MCV	0.493694703519878
GMP-B	MCV	0.0959758593822194
GMP-C	MCV	0.544971361436276
HSC	MCV	0.364413718493742
LMPP	MCV	0.560522702366873
mDC	MCV	0.615043854938755
Mega	MCV	0.92534053836802
MEP	MCV	0.00949317195171878
Mono	MCV	0.00477557521030956
MPP	MCV	0.689386100640868
NK	MCV	0.572071717695006
pDC	MCV	0.589699350994195
B	MEAN_RETIC_VOL	0.129859247079936
CD4	MEAN_RETIC_VOL	0.0980380380506384
CD8	MEAN_RETIC_VOL	0.200213016000972
CLP	MEAN_RETIC_VOL	0.420190322693371
CMP	MEAN_RETIC_VOL	0.59307151556399
Ery	MEAN_RETIC_VOL	2.09814931879335e-07
GMP-A	MEAN_RETIC_VOL	0.0566864269306928
GMP-B	MEAN_RETIC_VOL	0.671352476537074
GMP-C	MEAN_RETIC_VOL	0.91691121851215
HSC	MEAN_RETIC_VOL	0.0946301617731774
LMPP	MEAN_RETIC_VOL	0.604343796909479
mDC	MEAN_RETIC_VOL	0.944310452637038
Mega	MEAN_RETIC_VOL	0.723086291682159
MEP	MEAN_RETIC_VOL	0.0260642920105472
Mono	MEAN_RETIC_VOL	0.00150954368835822
MPP	MEAN_RETIC_VOL	0.00673612387183854
NK	MEAN_RETIC_VOL	0.446970134638919
pDC	MEAN_RETIC_VOL	0.393386108496186
B	MONO_COUNT	0.895508504888244
CD4	MONO_COUNT	0.200213958511593
CD8	MONO_COUNT	0.634199841076341
CLP	MONO_COUNT	0.781971498995297
CMP	MONO_COUNT	0.682067645394591
Ery	MONO_COUNT	0.8055805749533
GMP-A	MONO_COUNT	0.86307274672788
GMP-B	MONO_COUNT	0.0102264952844548
GMP-C	MONO_COUNT	0.895343101580188
HSC	MONO_COUNT	0.534458440624219
LMPP	MONO_COUNT	0.847451589800858
mDC	MONO_COUNT	0.00527850835060885
Mega	MONO_COUNT	0.564272753984183
MEP	MONO_COUNT	0.277545934306027
Mono	MONO_COUNT	0.0269607653140569
MPP	MONO_COUNT	0.847129887262104
NK	MONO_COUNT	0.285578086604999
pDC	MONO_COUNT	0.0208681019321902
B	MPV	0.202637963212184
CD4	MPV	0.562496166451769
CD8	MPV	0.31374173920648
CLP	MPV	0.622614896547613
CMP	MPV	0.524949089871544
Ery	MPV	0.706837406853038
GMP-A	MPV	0.473528906768756
GMP-B	MPV	0.539673103002693
GMP-C	MPV	0.146844848995017
HSC	MPV	0.331259952825952
LMPP	MPV	0.101084653711814
mDC	MPV	0.233292662968195
Mega	MPV	1.0769811046552e-07
MEP	MPV	0.744563873437118
Mono	MPV	0.263482832095581
MPP	MPV	0.694280081584694
NK	MPV	0.195372184705872
pDC	MPV	0.0142430230233028
B	NEUTRO_COUNT	0.676324954655914
CD4	NEUTRO_COUNT	0.336659896677988
