name	type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	raw_BASO_COUNT	raw_EO_COUNT	raw_HCT	raw_HGB	raw_LYMPH_COUNT	raw_MCH	raw_MCHC	raw_MCV	raw_MEAN_RETIC_VOL	raw_MONO_COUNT	raw_MPV	raw_NEUTRO_COUNT	raw_PLT_COUNT	raw_RBC_COUNT	raw_RETIC_COUNT	raw_WBC_COUNT	smooth_raw_BASO_COUNT	smooth_raw_EO_COUNT	smooth_raw_HCT	smooth_raw_HGB	smooth_raw_LYMPH_COUNT	smooth_raw_MCH	smooth_raw_MCHC	smooth_raw_MCV	smooth_raw_MEAN_RETIC_VOL	smooth_raw_MONO_COUNT	smooth_raw_MPV	smooth_raw_NEUTRO_COUNT	smooth_raw_PLT_COUNT	smooth_raw_RBC_COUNT	smooth_raw_RETIC_COUNT	smooth_raw_WBC_COUNT	colvec
singles-BM0828-MEP-160420-89	MEP	30.252	-10.709	-4.2735	5.4703	4.3356	1.3437	1.693	-0.41785	-1.564	-2.3407	-0.501059185972616	-0.98728148228679	1.1300402317535	-0.451221976191308	-0.120399677730602	-0.389718749959452	-0.646671917831091	-0.00272103598801272	-1.72649852295965	-0.915894697720302	0.688797170286292	-0.323625787855489	-0.476272166285397	-0.206079140398902	-0.93310889566771	-0.54134698329482	0.148028374402656	-0.334919487642711	0.804964154897874	0.563988730631309	0.246952168079393	0.909242873460245	0.588127102402213	1.25565396850578	0.724445833527651	-0.722575619787571	0.41201334048339	-0.116455781659356	0.370009079333054	0.973067595621344	0.409565838507368	-0.339783900090729	#F6313E
singles-BM0828-GMP-151027-76	GMP	37.784	-3.0457	-3.1938	4.7309	4.1606	0.90693	1.4125	-0.36143	-1.7034	-2.373	7.84744359476521	0.740406583308859	-0.0872061988282275	0.0639675850392143	1.52006252747285	0.855678454981336	-0.461117797612783	0.845137581966136	0.18833249797462	0.273108488086255	1.25903222049227	3.27728102303919	-0.819431736126258	1.15919656429922	0.222443902693386	3.26824962770869	1.10888000979047	0.481022936281781	0.0485161004563424	0.0658751601337279	0.0369349164094505	-0.151779255175813	-0.121511434418468	-0.244968856078155	-0.203602406222967	0.357424753168051	-0.138845494783809	0.453665733325282	-0.56286289380131	-0.0405814773811164	0.114922815640686	0.564080599366483	#FFA300
BM1077-GMP-Frozen-160107-39	GMP	35.233	-1.7225	-5.4094	4.2088	3.1484	0.32346	2.0717	-0.14765	-1.496	-2.2828	2.83551255093321	3.14554754223807	2.02669814763255	2.41384190281896	1.27006842939956	-1.0520559116565	-0.744782435631905	-1.13839990233464	-0.679156453769074	0.493198739094974	-0.871337633736274	3.25688917149881	-0.375949449396301	0.397041516839584	-0.359556183736843	3.63888881288368	0.144291909707055	0.656353553855201	0.230043286104782	0.274600568524672	0.370142296640567	-0.45501543889709	-0.228389767768459	-0.49223376818542	-0.100119169914096	0.372142264113695	-0.0412294892984713	0.45959016770754	-0.222681113214915	-0.239439448961814	-0.208015832775429	0.531088150828145	#FFA300
singles-BM0106-HSC-LS-160219-75	HSC	36.304	-5.6636	-0.46282	4.3136	2.7868	0.87627	1.9731	0.18595	-1.8199	-2.1434	-0.537165914092393	-0.607075889221287	-0.626819676818192	-0.586579577892002	-0.800291180263064	-1.08629877045636	-0.531225417247321	-0.899949886738432	-0.605164317810919	-0.463393374331781	-0.161868968955793	-0.623658365366437	0.572030277110845	-0.677945941082277	-0.439034394970236	-0.783111815886462	0.0716283828999856	-0.124920112007001	-0.0939117255972557	-0.0162969543404697	-0.230804353720336	-0.215278725896997	-0.439552417712194	-0.244134354021596	-0.181903147614876	0.351650361907187	-0.212685714216177	-0.205288842684115	-0.237310680472684	-0.117892634334488	-0.165844037101019	-0.283279250642946	#00441B
BM1077-GMP-Frozen-160107-50	GMP	34.958	-1.4558	-5.6443	4.9933	3.1458	0.65113	2.2058	-0.19695	-1.6402	-2.3449	-0.585121572835372	0.737365175682735	-0.0574220933939149	-0.674835408137097	0.725438396293706	-0.24153051216098	-0.227310256173048	-0.567886907405039	-0.301907839367294	0.391077869009222	-0.685704643508789	-0.586517768536768	-1.44505815905782	-0.506448691118982	0.0734100400799736	-0.59978984277503	0.313385804745507	0.308329419436174	-0.0933733337647117	-0.0450701076664844	0.113888993585132	-0.463155845655448	-0.284676776440244	-0.521848771787955	-0.132922112510448	0.396542465973516	-0.191021995171562	0.0836038277436297	-0.279597987638457	-0.281065041252056	-0.161313490956652	0.271638366554489	#FFA300
singles-BM0828-HSC-fresh-151027-1	HSC	35.711	-7.1492	-0.48083	3.8429	1.9815	0.88869	2.2089	-0.30095	-1.5745	-2.2186	-0.5696280280371	-0.952387768911583	-0.533985912396178	-0.325447129801645	0.0445062523470876	-0.430303452747816	1.49136686923594	-0.542395024696836	-0.591157506727802	-0.148320920350021	0.873558840302562	1.6989953839121	0.061364909028371	-1.0940001644224	-0.785052445574751	2.49948670109328	-0.340285871963808	-0.123488243499697	-0.326389986053607	-0.275001922209688	-0.101993422036195	0.0061027346142922	-0.0516332420632409	-0.329728046036269	-0.31864577704015	-0.256309541326553	0.0713944325792751	0.0957073243042354	0.167392205936624	-0.393331921729022	0.0476595200598267	0.113674768258381	#00441B
singles-20160726-scATAC-BM1137-GMP3high-HYC-79	GMP-C	35.577	-2.1617	-5.7207	4.6481	3.1432	0.94607	2.0664	-0.39034	-1.6004	-2.3095	-0.357833862864224	-0.564794215637958	-0.546272126798246	-0.407689863422905	-0.202685474516805	-0.838044250774866	-0.484641646038136	-1.39904297138427	-0.714422078939146	1.28119518800066	-1.13834636040713	-1.15764121794957	-1.11804763719337	-1.05404579467878	1.12007379441904	-1.24974442954525	0.409458082930669	0.0619849232416345	0.104642131911472	0.0686783932833683	0.0768176213543813	-0.454600357637699	-0.108685523689025	-0.52768726514922	-0.0828560001158069	0.727862518462664	-0.279693161157553	0.276866408350775	-0.413081862695495	-0.236183350079409	0.165224396061468	0.313300495251301	#FF7900
singles-PB1022-mono-160128-11	Mono	30.384	-1.1125	-6.3906	3.2999	2.4575	1.6364	1.8386	-0.79367	-2.1216	-2.3814	-0.276158153033092	-0.0149864628600861	0.690129197433574	-0.424427003865908	-0.0349475409684371	-0.346095490285766	0.152029247003927	0.128791529875494	-0.341471145982499	-0.775683224493631	-0.989092856300612	1.25728836175741	-1.09483281540649	-0.640101436965731	-0.887036946012762	0.996706134041265	0.284687871312964	0.202714498643808	0.328103034214222	-0.0904187325888588	0.262066442744954	-0.398331688242897	-0.0361433802364598	-0.227522444312108	-0.0958424970320789	0.540236535404384	-0.546377117558001	-0.02081671212299	-0.65828451678066	-0.230316147362064	-0.360655501401203	0.407385902746832	#FF5A00
singles-BM0828-HSC-frozen-151027-48	HSC	35.662	-6.8765	-0.14067	4.2338	2.2946	1.2041	1.9514	-0.16664	-1.5065	-2.2031	0.0522629217687442	-0.254250475185396	-0.710948144461225	-0.309697181727489	-0.635088752871786	0.577355419033383	-0.131375558300127	0.110639024631283	-0.157304752790197	-0.587203548507218	-0.719013427997643	-0.687067224875865	-1.13943955372405	-0.282016739333535	1.07820980265157	-0.544388333390676	-0.373428134280923	0.0470579072157251	-0.175200367751608	-0.186965958361927	-0.121385174157483	-0.0808978663140115	-0.30607699515928	-0.221025864440068	-0.32245364787354	-0.220451005223025	-0.0278394608989256	-0.189043161273293	-0.104449184436394	-0.184137774740723	-0.106210864301195	-0.210311009022055	#00441B
singles-160819-BM1137-CMP-LS-81	CMP	37.208	-4.7836	-0.79393	4.883	3.904	0.30161	1.3839	-0.14704	-1.6753	-2.1956	-0.487384626401353	-0.893986921739218	-0.879659454589593	-0.80593040215526	3.22137776951931	-0.209154995731418	-0.59147309128858	0.713732038439536	-0.42365260275078	-0.346179273421203	1.34502070973639	-0.412421453729253	-0.0159454858548153	-0.129207586200942	-0.0491698246648832	0.577312249131068	-0.000164675221154941	-0.286220560060997	-0.184081106313668	-0.209401977004409	0.290485478226696	-0.254525458185638	-0.0779220194762181	-0.235149893771675	-0.264434079768403	0.0877762317451253	0.146313551727782	0.156531202114548	-0.194410781584969	-0.190755886515229	-0.182206019757824	0.315893514192037	#FFC179
