name	type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
singles-BM0828-HSC-fresh-151027-33	HSC	35.848	-8.0086	-0.74692	4.5404	2.4031	0.96294	2.0488	-0.5672	-1.5429	-2.364
singles-BM0828-HSC-fresh-151027-34	HSC	35.609	-7.1077	-0.68315	4.0774	2.5922	1.5269	1.8168	-0.58202	-1.4817	-2.2738
singles-BM0828-HSC-fresh-151027-35	HSC	35.78	-6.7263	-1.6317	4.0185	2.9048	1.8689	2.0185	-0.034947	-1.39	-2.2444
singles-BM0828-HSC-fresh-151027-37	HSC	36.04	-6.7814	-0.20054	4.0436	2.4	0.84088	2.0218	-0.22455	-1.814	-2.2857
singles-BM0828-HSC-fresh-151027-38	HSC	36.981	-6.59	-0.49138	4.5666	2.6027	0.80383	1.8042	-0.48176	-1.608	-2.2637
singles-BM0828-HSC-fresh-151027-39	HSC	35.983	-6.7157	-0.25748	4.0151	2.5172	1.0566	1.8964	-0.16437	-1.7743	-2.3109
singles-BM0828-HSC-fresh-151027-40	HSC	36.947	-7.3373	-1.2444	4.7782	3.1151	1.2569	2.0333	-0.33912	-1.6766	-2.3088
singles-BM0828-HSC-fresh-151027-41	HSC	37.236	-5.8353	-2.0778	4.4694	3.804	1.4112	1.5685	-0.21429	-1.3357	-2.2947
singles-BM0828-HSC-fresh-151027-42	HSC	36.66	-6.6386	-0.37036	4.4653	2.5531	0.77668	1.9486	-0.24527	-1.8473	-2.3645
singles-BM0828-HSC-fresh-151027-43	HSC	36.409	-6.576	-1.957	3.6451	2.872	1.4667	1.8443	-0.38334	-1.1343	-2.2751
singles-BM0828-HSC-fresh-151027-44	HSC	37.268	-4.9914	-0.25184	4.7198	3.1658	0.38627	1.7685	-0.24337	-1.9846	-2.322
singles-BM0828-HSC-fresh-151027-45	HSC	35.503	-6.2815	0.51715	4.1908	2.1082	0.56167	1.7116	-0.33097	-1.7083	-2.1368
singles-BM0828-HSC-fresh-151027-46	HSC	35.913	-7.6121	-0.87189	4.6087	2.4222	1.3168	2.1875	-0.46998	-1.676	-2.3399
singles-BM0828-HSC-fresh-151027-47	HSC	36.861	-6.3361	-0.60656	4.5568	3.1076	1.0897	1.9693	-0.1068	-1.8876	-2.4314
singles-BM0828-HSC-fresh-151027-48	HSC	37.348	-6.6439	-1.5268	4.2949	3.2045	1.1439	1.9067	-0.066427	-1.4738	-2.2577
singles-BM0828-HSC-fresh-151027-49	HSC	36.414	-6.6305	-0.54073	4.2619	2.1754	1.0102	2.138	-0.37412	-1.7552	-2.3287
singles-BM0828-HSC-fresh-151027-50	HSC	36.966	-5.8746	-2.2644	4.1552	3.4231	1.4975	1.5036	-0.4532	-1.2375	-2.3301
singles-BM0828-HSC-fresh-151027-51	HSC	36.476	-7.382	-1.0621	4.4434	2.6844	1.2751	2.1568	-0.22583	-1.5541	-2.226
singles-BM0828-HSC-fresh-151027-52	HSC	36.741	-6.2321	-0.25214	4.4523	2.6569	0.83545	1.9345	-0.27729	-1.8734	-2.3294
singles-BM0828-HSC-fresh-151027-53	HSC	37.485	-6.3438	-1.5371	4.2649	3.0525	1.2417	1.8354	-0.29832	-1.5176	-2.316
singles-BM0828-HSC-fresh-151027-55	HSC	37.16	-6.6232	-0.7396	4.6952	2.6958	0.78898	1.9702	-0.24975	-1.3403	-2.3459
singles-BM0828-HSC-fresh-151027-56	HSC	35.901	-7.5783	-1.5121	4.4704	2.6634	1.5864	2.1185	-0.48718	-1.2557	-2.3495
singles-BM0828-HSC-fresh-151027-57	HSC	34.623	-7.9058	-0.21977	4.0496	1.9389	1.0545	2.2535	-0.47355	-1.5074	-2.2344
singles-BM0828-HSC-fresh-151027-58	HSC	35.796	-7.3764	-0.93857	4.0988	2.3223	1.4196	1.9588	-0.37222	-1.3741	-2.1416
singles-BM0828-HSC-fresh-151027-59	HSC	36.492	-7.1408	-1.0361	4.237	2.5483	1.2444	2.1048	-0.24881	-1.6675	-2.3052
singles-BM0828-HSC-fresh-151027-60	HSC	35.679	-7.0002	-1.2115	4.2115	3.1599	1.797	1.7795	-0.22443	-1.4148	-2.148
singles-BM0828-HSC-fresh-151027-61	HSC	36.295	-7.3641	-1.1927	4.5707	2.7671	1.2803	2.1131	-0.038343	-1.6482	-2.0642
singles-BM0828-HSC-fresh-151027-63	HSC	36.947	-6.3535	-1.4057	4.0326	2.8718	1.1645	1.5656	-0.60454	-1.2979	-2.3248
singles-BM0828-HSC-fresh-151027-64	HSC	36.334	-6.388	-0.29077	4.1997	2.4732	0.9575	2.0226	-0.073078	-1.8091	-2.2502
singles-BM0828-HSC-fresh-151027-65	HSC	37.083	-6.3311	-0.76982	4.4495	2.694	1.0129	2.0352	-0.10936	-1.8157	-2.3829
singles-BM0828-HSC-fresh-151027-66	HSC	36.223	-7.4272	-1.0084	4.3828	2.7937	1.4114	2.0625	-0.31518	-1.5753	-2.2397
singles-BM0828-HSC-fresh-151027-67	HSC	36.086	-7.7136	-1.5338	4.1886	2.629	1.4098	1.972	-0.51108	-1.4108	-2.2485
singles-BM0828-HSC-fresh-151027-68	HSC	35.991	-7.1105	-0.27884	4.3238	2.2644	0.94939	1.9893	-0.35177	-1.7522	-2.2915
singles-BM0828-HSC-fresh-151027-70	HSC	36.528	-6.7207	-0.3798	4.2445	2.7197	0.91587	1.9839	-0.38735	-1.8157	-2.3098
singles-BM0828-HSC-fresh-151027-71	HSC	34.832	-7.3907	0.24362	4.2908	1.9194	0.96902	2.1072	-0.34078	-1.3534	-2.1103
singles-BM0828-HSC-fresh-151027-72	HSC	35.843	-6.6108	-1.5401	4.0018	2.9739	1.8325	1.6314	-0.26596	-1.2968	-2.2619
singles-BM0828-HSC-fresh-151027-73	HSC	37.135	-6.6056	-1.2216	4.443	2.846	1.1566	2.1976	-0.13452	-1.8389	-2.2526
singles-BM0828-HSC-fresh-151027-74	HSC	36.805	-6.8704	-0.46855	4.6978	2.6896	0.84486	2.0072	-0.36621	-1.7445	-2.2309
singles-BM0828-HSC-fresh-151027-76	HSC	36.008	-4.144	0.37998	4.8449	3.3932	0.053753	1.344	-0.46247	-1.9397	-2.3478
singles-BM0828-HSC-fresh-151027-79	HSC	35.732	-7.4659	-0.892	4.0076	2.144	1.1803	2.0031	-0.5818	-1.2992	-2.2296
singles-BM0828-HSC-fresh-151027-80	HSC	37.241	-6.6798	-1.5083	4.3785	3.2293	1.2473	1.7321	-0.55259	-1.46	-2.2995
singles-BM0828-HSC-fresh-151027-81	HSC	36.466	-7.3544	-0.70317	4.4535	2.6034	0.95884	1.8668	-0.37362	-1.4618	-2.1528
singles-BM0828-HSC-fresh-151027-82	HSC	36.759	-7.1446	-0.57465	4.7523	2.6775	0.80253	2.0217	-0.61868	-1.5139	-2.2796
singles-BM0828-HSC-fresh-151027-83	HSC	36.175	-7.537	-1.5303	4.6231	3.1733	1.61	2.1921	-0.31706	-1.6666	-2.2235
singles-BM0828-HSC-fresh-151027-85	HSC	36.796	-7.0838	-1.2456	4.4364	2.9743	1.3185	2.1385	-0.20745	-1.7153	-2.2625
singles-BM0828-HSC-fresh-151027-86	HSC	36.206	-7.2978	-1.6692	4.1537	3.2582	1.5578	1.8826	-0.3259	-1.2835	-2.2889
singles-BM0828-HSC-fresh-151027-87	HSC	36.626	-6.7312	-0.7282	4.2726	2.6727	1.1147	2.0775	-0.19798	-1.8007	-2.2837
singles-BM0828-HSC-fresh-151027-88	HSC	36.054	-7.6498	-0.76852	4.6427	2.7147	1.1439	1.9843	-0.63379	-1.4186	-2.3156
singles-BM0828-HSC-fresh-151027-89	HSC	36.163	-7.092	-0.771	4.0822	2.539	1.1862	1.976	-0.099845	-1.7269	-2.2742
singles-BM0828-HSC-fresh-151027-90	HSC	36.331	-7.1059	-0.41523	4.2964	2.4542	0.67902	1.696	-0.23003	-1.4596	-2.2835
singles-BM0828-HSC-fresh-151027-92	HSC	36.131	-6.7703	-0.6249	4.0662	2.4612	1.1877	2.148	-0.10262	-1.7873	-2.2657
singles-BM0828-HSC-fresh-151027-95	HSC	37.294	-5.8666	-0.45628	4.4201	2.6174	0.48161	1.7658	-0.40102	-1.7223	-2.2462
singles-BM0828-HSC-fresh-151027-96	HSC	35.498	-8.087	-2.6598	4.9868	3.5549	1.6488	1.9664	-0.59867	-1.2195	-2.1144
singles-BM0828-MPP-frozen-151103-2	MPP	37.104	-7.4099	-0.84084	4.8122	2.6101	0.98256	2.1424	-0.79123	-1.4806	-2.4324
singles-BM0828-MPP-frozen-151103-3	MPP	36.751	-6.7733	-0.83624	4.339	3.0669	1.4738	1.9294	-0.10396	-1.5939	-2.2332
singles-BM0828-MPP-frozen-151103-4	MPP	37.059	-7.1464	-0.47755	4.6626	2.6679	1.1244	2.1673	-0.55302	-1.6121	-2.3126
singles-BM0828-MPP-frozen-151103-5	MPP	38.637	-6.5948	-1.8103	5.2577	3.3653	0.78852	2.0211	-0.45766	-1.7153	-2.2404
singles-BM0828-MPP-frozen-151103-6	MPP	36.885	-8.2585	-1.4113	5.3949	2.638	0.77049	2.2871	-0.69366	-1.5326	-2.3853
singles-BM0828-MPP-frozen-151103-8	MPP	36.513	-6.807	-1.1852	4.4829	3.2079	1.5901	2.2202	0.0071955	-1.7214	-2.2662
singles-BM0828-MPP-frozen-151103-9	MPP	36.806	-7.1946	-1.9069	4.4515	3.3799	1.4169	1.6218	-0.49037	-1.3016	-2.285
