p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
LYMPH_COUNT	BASO_COUNT	0.5002	0.0384	13.0199	9.4342e-39	0.0443	0.0062	1.0100	0.0060	0.2134	NA
LYMPH_COUNT	EO_COUNT	0.3399	0.0340	9.9839	1.7931e-23	0.1624	0.0192	1.0613	0.0151	0.2492	NA
LYMPH_COUNT	HCT	0.1646	0.0279	5.9024	3.5818e-09	0.1161	0.0135	1.0726	0.0136	0.1280	NA
LYMPH_COUNT	HGB	0.1219	0.0265	4.5968	4.2903e-06	0.1315	0.0198	1.0678	0.0178	0.1181	NA
LYMPH_COUNT	MCH	-0.0100	0.0243	-0.4133	6.7940e-01	0.2185	0.0379	1.0621	0.0307	-0.0043	NA
LYMPH_COUNT	MCHC	-0.1322	0.0495	-2.6699	7.5873e-03	0.0585	0.0140	1.0213	0.0126	-0.0273	NA
LYMPH_COUNT	MCV	0.0279	0.0228	1.2215	2.2189e-01	0.2238	0.0312	1.0735	0.0253	0.0124	NA
LYMPH_COUNT	MEAN_RETIC_VOL	0.0381	0.0323	1.1780	2.3878e-01	0.1539	0.0156	1.0759	0.0162	-0.0286	NA
LYMPH_COUNT	MONO_COUNT	0.5260	0.0384	13.6856	1.2385e-42	0.1634	0.0211	1.0859	0.0217	0.3561	NA
LYMPH_COUNT	MPV	0.0147	0.0191	0.7701	4.4126e-01	0.3178	0.0399	1.0632	0.0235	0.0026	NA
LYMPH_COUNT	NEUTRO_COUNT	0.4597	0.0258	17.8365	3.6831e-71	0.1505	0.0172	1.0356	0.0119	0.2388	NA
LYMPH_COUNT	PLT_COUNT	0.2595	0.0299	8.6838	3.8277e-18	0.2278	0.0213	1.0792	0.0166	0.1750	NA
LYMPH_COUNT	RBC_COUNT	0.1027	0.0259	3.9653	7.3293e-05	0.1701	0.0158	1.0829	0.0125	0.1059	NA
LYMPH_COUNT	RETIC_COUNT	0.1965	0.0323	6.0758	1.2335e-09	0.1545	0.0152	1.0569	0.0167	0.1029	NA
LYMPH_COUNT	WBC_COUNT	0.8082	0.0353	22.9191	2.9961e-116	0.1769	0.0197	1.0439	0.0136	0.5842	NA
