E2F2
PITHD1
RUNX3
MAN1C1
LDLRAP1
UROD
KIF2C
SLC6A9
MOB3C
PDZK1IP1
FAM46C
METTL13
UBE2T
KLHL12
ADIPOR1
TMEM183A
RAB7L1
ELK4
NUAK2
SCCPDH
NLRP3
ZNF496
OR2L13
ZNF695
MBOAT2
PSME4
CHAC2
FANCL
BCL2L11
TBC1D5
GPR27
PDIA5
CCDC14
ATP1B3
ABCC5
TFRC
TLR10
PPA2
HHIP
HHIP-AS1
SLC12A7
NDUFS6
PLEKHG4B
CD180
NLN
MRPS36
CDK7
MEF2C
SYNGAP1
RING1
UBR2
TSPO2
CD2AP
HBS1L
LFNG
CARD11
EIF2AK1
WIPI2
TMED4
ADCY1
KRIT1
PEX1
CCDC132
AKAP9
HEPACAM2
SAMD9
FAM133B
ANK1
VDAC3
LYN
LRP12
DOCK8
JAK2
CDC37L1
INSL6
RCL1
KLHL9
GFI1B
TMEM72
NCOA4
TIMM23
SGMS1
JMJD1C
DNA2
SESN3
ENDOD1
CEP57
ANKRD49
EI24
CHEK1
ETS1
KCNJ1
NCAPD2
MLF2
CHD4
USP5
ATN1
ZNF384
LTBR
ACRBP
GPR162
FAR2
AMIGO2
ZNF641
PCED1B
ADCY6
ISCU
DYNLL1
CIT
WDR66
BCL7A
PXMP2
UGGT2
ABCC4
CLDN10
CUL4A
ACTN1
TNFAIP2
MOK
TECPR2
HBA2
HBA1
HBM
DECR2
ATXN2L
XPO6
CCDC101
SH2B1
TUFM
APOBR
CLN3
NUTF2
DPEP3
GINS2
SLC7A5
ZFPM1
CBFA2T3
FANCA
KIF1C
SCIMP
SLFN11
LAMA3
CABLES1
PTBP1
SBNO2
MKNK2
STK11
KLF16
LPPR3
MIDN
AZU1
PRTN3
ELANE
CFD
C19orf24
GADD45B
DOT1L
OAZ1
PNPLA6
STXBP2
MAP2K7
SNAPC2
PRAM1
MYO1F
RAB11B
PET100
RAB11B-AS1
WIZ
BRD4
AP1M1
CHERP
MYO9B
RASAL3
ILVBL
SLC35E1
TPM4
HSH2D
ANO8
MAP1S
C19orf60
HOMER3
TMEM161A
JAK3
RPL18A
CRTC1
BST2
SLC27A1
DDA1
FCHO1
SSBP4
PGPEP1
MPV17L2
TRAPPC6A
BCL3
CLASRP
PPP1R37
SYMPK
TOMM40
POLD1
ETFB
CD33
CLEC11A
SIGLEC5
NR1H2
EMC10
FPR2
FPR1
SIGLEC14
SIGLEC12
CPXM1
RNF24
BCL2L1
CASS4
TUBB1
ATP5E
PFKL
TRPM2
CDC45
ZDHHC8
DGCR8
PANX2
HDAC10
KLHDC7B
PIM3
PPP6R2
SBF1
BRD1
TUBGCP6
ALG12
