30.252	-10.709	-4.2735
37.784	-3.0457	-3.1938
35.233	-1.7225	-5.4094
36.304	-5.6636	-0.46282
34.958	-1.4558	-5.6443
35.711	-7.1492	-0.48083
35.577	-2.1617	-5.7207
30.384	-1.1125	-6.3906
35.662	-6.8765	-0.14067
37.208	-4.7836	-0.79393
35.031	-0.73919	-5.3013
30.639	-1.4277	-6.4224
30.396	1.5929	-2.7118
37.36	-1.9229	-3.4248
38.053	-4.9272	-3.8114
25.215	3.2448	-0.1568
37.946	-3.3618	-3.7233
36.345	-3.4584	-0.40195
29.468	1.8323	-1.3242
35.221	-8.5458	-1.1697
37.076	-4.767	-1.1442
38.1	-6.0953	-1.2467
37.421	-4.2265	-4.3602
37.609	-6.1563	-1.2378
29.628	1.4832	-0.091737
30.886	-9.9839	-3.954
36.237	-7.9567	-0.56517
38.043	-6.8756	-1.8666
37.508	-3.0489	-2.1855
38.329	-4.7319	-3.6869
34.7	-1.2137	-5.6412
38.1	-3.8544	-2.0497
35.969	-7.2747	-0.90899
27.088	0.10397	-6.6888
37.973	-4.0567	-3.8317
27.649	-11.462	-3.5438
35.681	-8.7417	-2.8366
27.506	2.6504	-0.70193
29.352	-10.501	-3.6657
36.904	-6.9214	-1.6942
35.473	-9.362	-2.7353
36.27	-3.1772	-4.7845
28.019	-0.25125	-6.6692
33.485	-9.167	-3.831
34.236	-10.016	-2.8261
33.449	-0.6842	-5.706
36.817	-3.992	-1.0023
36.439	-2.5243	-2.1194
34.364	-0.084456	-4.3062
35.596	-0.68966	-4.4515
36.24	-2.3286	-1.4169
36.865	-7.6925	-1.6333
37.22	-6.5674	-1.1292
37.897	-4.8967	-1.5729
35.228	-2.001	-3.9949
33.384	-0.71081	-6.05
36.605	-7.0821	-2.621
34.196	-9.5363	-3.2052
30.378	-9.9318	-4.0164
35.451	-2.0421	-5.2604
37.029	-6.5279	-1.0449
36.22	-7.0306	-1.8249
35.361	-7.6139	-0.68234
37.68	-3.1829	-3.9933
34.157	-1.6204	0.0068926
37.485	-7.2194	-1.5734
36.966	-5.8746	-2.2644
36.318	-6.8931	-3.2431
34.278	-8.7974	-3.7387
31.307	-10.824	-3.7747
37.731	-4.9146	-1.0312
23.754	-11.761	-3.3614
36.647	-7.5774	-0.80506
37.798	-6.4612	-2.1662
37.754	-3.583	-4.2792
35.975	-7.482	-0.79263
37.505	-6.6685	-2.6847
35.53	-1.198	-4.9193
37.23	-3.1353	-2.1204
36.382	-2.1964	-0.9519
24.761	3.1961	0.59405
33.85	-8.5339	-4.1833
31.588	-10.845	-3.7152
34.348	-1.5875	-5.124
35.855	-8.5351	-4.1011
35.188	-7.5203	-0.50527
29.408	-0.87213	-6.5897
29.318	-10.906	-4.083
36.734	-4.8522	-4.9762
36.425	-0.63911	-3.5397
35.68	-4.0853	-5.459
37.21	-7.0648	-0.9211
35.97	-1.7404	-1.3486
36.73	-2.8421	-4.3338
