BASO_COUNT	EO_COUNT	HCT	HGB	LYMPH_COUNT	MCH	MCHC	MCV	MEAN_RETIC_VOL	MONO_COUNT	MPV	NEUTRO_COUNT	PLT_COUNT	RBC_COUNT	RETIC_COUNT	WBC_COUNT
BASO_COUNT	1	0.124805890930615	0.0382782215858358	0.0187069269909751	0.213433598579381	-0.0119491492774603	-0.0590077103433371	0.0179146082511132	0.0135175611334523	0.199513337614534	0.0215903380866721	0.202618297403932	0.100919297507282	0.0233427308474887	0.015561549581673	0.27822048567595
EO_COUNT	0.124805890930615	1	0.0426094273063126	0.0313193525789985	0.249166953346933	-0.0561404698136651	-0.0334937289296175	-0.0458697749965673	-0.0413680455969813	0.242390676230989	0.0114655881917995	0.133670429625607	0.118078622714121	0.0643524496569517	0.0676905014961787	0.277300823913194
HCT	0.0382782215858358	0.0426094273063126	1	0.931186190866078	0.128144423714826	0.0109489761205903	-0.18636853349727	0.12965972393099	-0.0263879075635328	0.100784067681905	0.039589003709139	0.161135428308597	-0.0481922065714021	0.804044803987866	0.197142887293934	0.1802494988667
HGB	0.0187069269909751	0.0313193525789985	0.931186190866078	1	0.118223283892963	0.185455606039017	0.173077885632639	0.133241550458698	-0.0375322908765049	0.0913777790822544	0.0205257651082277	0.138670902452144	-0.078489129238765	0.740270849190287	0.224042240478616	0.156062802257809
LYMPH_COUNT	0.213433598579381	0.249166953346933	0.128144423714826	0.118223283892963	1	-0.00426663420756266	-0.0273063863646715	0.0124010960900247	-0.0287992622618296	0.356085823225067	0.00256896843973297	0.238819361625319	0.175170129465357	0.105980056068584	0.10360834466905	0.584684666625194
MCH	-0.0119491492774603	-0.0561404698136651	0.0109489761205903	0.185455606039017	-0.00426663420756266	1	0.491720196345926	0.877631429739167	0.449199549539905	0.00545241496050424	-0.0385882613242026	-0.0422645402312562	-0.113729780896681	-0.50822710499141	-0.0294896548485504	-0.0376137992887359
MCHC	-0.0590077103433371	-0.0334937289296175	-0.18636853349727	0.173077885632639	-0.0273063863646715	0.491720196345926	1	0.0270692852331069	-0.0287521251591549	-0.0339260663921281	-0.0551060548206503	-0.0738081206443385	-0.0929219330698824	-0.187176917312136	0.0614085897939444	-0.0778059077071409
MCV	0.0179146082511132	-0.0458697749965673	0.12965972393099	0.133241550458698	0.0124010960900247	0.877631429739167	0.0270692852331069	1	0.525546279240237	0.0223891156037264	-0.0135698662721525	-0.00992364065756351	-0.0849042816794806	-0.474151571902581	-0.0699188764567158	-0.00175834255178077
MEAN_RETIC_VOL	0.0135175611334523	-0.0413680455969813	-0.0263879075635328	-0.0375322908765049	-0.0287992622618296	0.449199549539905	-0.0287521251591549	0.525546279240237	1	0.00583667225972705	-0.0314078725338694	-0.0102667598622532	-0.0263504915450061	-0.333413182009243	-0.23875458082905	-0.0160793661922328
MONO_COUNT	0.199513337614534	0.242390676230989	0.100784067681905	0.0913777790822544	0.356085823225067	0.00545241496050424	-0.0339260663921281	0.0223891156037264	0.00583667225972705	1	0.031040020177276	0.323614583055781	0.158941911200993	0.0770054066895758	0.0977208571602391	0.492849745387687
MPV	0.0215903380866721	0.0114655881917995	0.039589003709139	0.0205257651082277	0.00256896843973297	-0.0385882613242026	-0.0551060548206503	-0.0135698662721525	-0.0314078725338694	0.031040020177276	1	0.021524826735542	-0.497084766029224	0.0440509438050544	0.0131843476323637	0.0202487636696866
NEUTRO_COUNT	0.202618297403932	0.133670429625607	0.161135428308597	0.138670902452144	0.238819361625319	-0.0422645402312562	-0.0738081206443385	-0.00992364065756351	-0.0102667598622532	0.323614583055781	0.021524826735542	1	0.243897528178979	0.14858223944899	0.162481488428664	0.908185090135247
PLT_COUNT	0.100919297507282	0.118078622714121	-0.0481922065714021	-0.078489129238765	0.175170129465357	-0.113729780896681	-0.0929219330698824	-0.0849042816794806	-0.0263504915450061	0.158941911200993	-0.497084766029224	0.243897528178979	1	0.00860216570459122	0.0168677638975154	0.277017015987548
RBC_COUNT	0.0233427308474887	0.0643524496569517	0.804044803987866	0.740270849190287	0.105980056068584	-0.50822710499141	-0.187176917312136	-0.474151571902581	-0.333413182009243	0.0770054066895758	0.0440509438050544	0.14858223944899	0.00860216570459122	1	0.216929314264687	0.160928037911355
RETIC_COUNT	0.015561549581673	0.0676905014961787	0.197142887293934	0.224042240478616	0.10360834466905	-0.0294896548485504	0.0614085897939444	-0.0699188764567158	-0.23875458082905	0.0977208571602391	0.0131843476323637	0.162481488428664	0.0168677638975154	0.216929314264687	1	0.176427571420573
WBC_COUNT	0.27822048567595	0.277300823913194	0.1802494988667	0.156062802257809	0.584684666625194	-0.0376137992887359	-0.0778059077071409	-0.00175834255178077	-0.0160793661922328	0.492849745387687	0.0202487636696866	0.908185090135247	0.277017015987548	0.160928037911355	0.176427571420573	1
